Date,signal
2014-03-31,down
2014-04-01,up
2014-04-02,up
2014-04-03,down
2014-04-04,down
2014-04-07,up
2014-04-08,up
2014-04-09,stay
2014-04-10,down
2014-04-11,up
2014-04-14,down
2014-04-15,down
2014-04-16,stay
2014-04-17,down
2014-04-21,up
2014-04-22,up
2014-04-23,down
2014-04-24,down
2014-04-25,stay
2014-04-28,stay
2014-04-29,up
2014-04-30,up
2014-05-01,stay
2014-05-02,up
2014-05-05,up
2014-05-06,down
2014-05-07,down
2014-05-08,down
2014-05-09,up
2014-05-12,stay
2014-05-13,up
2014-05-14,up
2014-05-15,stay
2014-05-16,up
2014-05-19,up
2014-05-20,stay
2014-05-21,up
2014-05-22,up
2014-05-23,up
2014-05-27,up
2014-05-28,stay
2014-05-29,stay
2014-05-30,down
2014-06-02,down
2014-06-03,stay
2014-06-04,stay
2014-06-05,stay
2014-06-06,down
2014-06-09,down
2014-06-10,down
2014-06-11,up
2014-06-12,stay
2014-06-13,stay
2014-06-16,up
2014-06-17,up
2014-06-18,down
2014-06-19,stay
2014-06-20,stay
2014-06-23,up
2014-06-24,down
2014-06-25,stay
2014-06-26,stay
2014-06-27,up
2014-06-30,stay
2014-07-01,down
2014-07-02,down
2014-07-03,down
2014-07-07,down
2014-07-08,stay
2014-07-09,stay
2014-07-10,stay
2014-07-11,down
2014-07-14,up
2014-07-15,down
2014-07-16,down
2014-07-17,stay
2014-07-18,up
2014-07-21,up
2014-07-22,down
2014-07-23,up
2014-07-24,stay
2014-07-25,stay
2014-07-28,stay
2014-07-29,stay
2014-07-30,up
2014-07-31,down
2014-08-01,up
2014-08-04,up
2014-08-05,stay
2014-08-06,up
2014-08-07,up
2014-08-08,down
2014-08-11,up
2014-08-12,stay
2014-08-13,stay
2014-08-14,stay
2014-08-15,stay
2014-08-18,down
2014-08-19,down
2014-08-20,stay
2014-08-21,down
2014-08-22,stay
2014-08-25,up
2014-08-26,down
2014-08-27,stay
2014-08-28,stay
2014-08-29,stay
2014-09-02,up
2014-09-03,down
2014-09-04,up
2014-09-05,down
2014-09-08,up
2014-09-09,down
2014-09-10,stay
2014-09-11,stay
2014-09-12,stay
2014-09-15,down
2014-09-16,up
2014-09-17,stay
2014-09-18,stay
2014-09-19,stay
2014-09-22,down
2014-09-23,up
2014-09-24,stay
2014-09-25,stay
2014-09-26,down
2014-09-29,stay
2014-09-30,down
2014-10-01,stay
2014-10-02,stay
2014-10-03,stay
2014-10-06,up
2014-10-07,up
2014-10-08,down
2014-10-09,stay
2014-10-10,down
2014-10-13,down
2014-10-14,stay
2014-10-15,up
2014-10-16,up
2014-10-17,down
2014-10-20,stay
2014-10-21,stay
2014-10-22,stay
2014-10-23,stay
2014-10-24,down
2014-10-27,down
2014-10-28,up
2014-10-29,down
2014-10-30,stay
2014-10-31,stay
2014-11-03,stay
2014-11-04,stay
2014-11-05,down
2014-11-06,up
2014-11-07,stay
2014-11-10,stay
2014-11-11,up
2014-11-12,stay
2014-11-13,stay
2014-11-14,up
2014-11-17,down
2014-11-18,stay
2014-11-19,down
2014-11-20,stay
2014-11-21,down
2014-11-24,stay
2014-11-25,stay
2014-11-26,stay
2014-11-28,stay
2014-12-01,down
2014-12-02,down
2014-12-03,up
2014-12-04,stay
2014-12-05,down
2014-12-08,down
2014-12-09,up
2014-12-10,stay
2014-12-11,stay
2014-12-12,up
2014-12-15,down
2014-12-16,down
2014-12-17,up
2014-12-18,up
2014-12-19,stay
2014-12-22,stay
2014-12-23,down
2014-12-24,up
2014-12-26,up
2014-12-29,stay
2014-12-30,stay
2014-12-31,stay
2015-01-02,down
2015-01-05,stay
2015-01-06,up
2015-01-07,down
2015-01-08,down
2015-01-09,stay
2015-01-12,stay
2015-01-13,up
2015-01-14,up
2015-01-15,stay
2015-01-16,stay
2015-01-20,stay
2015-01-21,up
2015-01-22,up
2015-01-23,stay
2015-01-26,up
2015-01-27,stay
2015-01-28,down
2015-01-29,up
2015-01-30,stay
2015-02-02,up
2015-02-03,up
2015-02-04,stay
2015-02-05,stay
2015-02-06,down
2015-02-09,up
2015-02-10,down
2015-02-11,stay
2015-02-12,up
2015-02-13,stay
2015-02-17,down
2015-02-18,stay
2015-02-19,up
2015-02-20,up
2015-02-23,down
2015-02-24,down
2015-02-25,stay
2015-02-26,up
2015-02-27,down
2015-03-02,down
2015-03-03,up
2015-03-04,up
2015-03-05,down
2015-03-06,down
2015-03-09,down
2015-03-10,up
2015-03-11,up
2015-03-12,down
2015-03-13,stay
2015-03-16,up
2015-03-17,stay
2015-03-18,up
2015-03-19,down
2015-03-20,stay
2015-03-23,stay
2015-03-24,stay
2015-03-25,stay
2015-03-26,down
2015-03-27,down
2015-03-30,up
2015-03-31,down
2015-04-01,stay
2015-04-02,stay
2015-04-06,up
2015-04-07,stay
2015-04-08,stay
2015-04-09,stay
2015-04-10,stay
2015-04-13,stay
2015-04-14,stay
2015-04-15,stay
2015-04-16,stay
2015-04-17,up
2015-04-20,down
2015-04-21,up
2015-04-22,up
2015-04-23,stay
2015-04-24,stay
2015-04-27,up
2015-04-28,down
2015-04-29,stay
2015-04-30,down
2015-05-01,down
2015-05-04,stay
2015-05-05,down
2015-05-06,stay
2015-05-07,up
2015-05-08,stay
2015-05-11,up
2015-05-12,up
2015-05-13,down
2015-05-14,stay
2015-05-15,up
2015-05-18,stay
2015-05-19,stay
2015-05-20,stay
2015-05-21,stay
2015-05-22,stay
2015-05-26,stay
2015-05-27,down
2015-05-28,up
2015-05-29,stay
2015-06-01,stay
2015-06-02,stay
2015-06-03,stay
2015-06-04,stay
2015-06-05,up
2015-06-08,up
2015-06-09,stay
2015-06-10,down
2015-06-11,stay
2015-06-12,stay
2015-06-15,stay
2015-06-16,stay
2015-06-17,up
2015-06-18,stay
2015-06-19,stay
2015-06-22,stay
2015-06-23,up
2015-06-24,stay
2015-06-25,up
2015-06-26,stay
2015-06-29,up
2015-06-30,up
2015-07-01,stay
2015-07-02,stay
2015-07-06,stay
2015-07-07,down
2015-07-08,down
2015-07-09,stay
2015-07-10,down
2015-07-13,stay
2015-07-14,stay
2015-07-15,down
2015-07-16,stay
2015-07-17,stay
2015-07-20,up
2015-07-21,stay
2015-07-22,up
2015-07-23,stay
2015-07-24,stay
2015-07-27,down
2015-07-28,up
2015-07-29,stay
2015-07-30,up
2015-07-31,stay
2015-08-03,down
2015-08-04,up
2015-08-05,up
2015-08-06,stay
2015-08-07,stay
2015-08-10,stay
2015-08-11,stay
2015-08-12,stay
2015-08-13,up
2015-08-14,down
2015-08-17,down
2015-08-18,up
2015-08-19,down
2015-08-20,down
2015-08-21,stay
2015-08-24,up
2015-08-25,stay
2015-08-26,down
2015-08-27,up
2015-08-28,up
2015-08-31,up
2015-09-01,stay
2015-09-02,stay
2015-09-03,down
2015-09-04,stay
2015-09-08,stay
2015-09-09,up
2015-09-10,stay
2015-09-11,stay
2015-09-14,up
2015-09-15,stay
2015-09-16,up
2015-09-17,stay
2015-09-18,up
2015-09-21,stay
2015-09-22,stay
2015-09-23,stay
2015-09-24,stay
2015-09-25,down
2015-09-28,down
2015-09-29,down
2015-09-30,down
2015-10-01,down
2015-10-02,up
2015-10-05,down
2015-10-06,stay
2015-10-07,down
2015-10-08,down
2015-10-09,stay
2015-10-12,down
2015-10-13,up
2015-10-14,down
2015-10-15,up
2015-10-16,up
2015-10-19,stay
2015-10-20,down
2015-10-21,stay
2015-10-22,down
2015-10-23,down
2015-10-26,up
2015-10-27,down
2015-10-28,stay
2015-10-29,stay
2015-10-30,down
2015-11-02,up
2015-11-03,down
2015-11-04,up
2015-11-05,stay
2015-11-06,stay
2015-11-09,down
2015-11-10,down
2015-11-11,up
2015-11-12,down
2015-11-13,down
2015-11-16,up
2015-11-17,stay
2015-11-18,up
2015-11-19,stay
2015-11-20,down
2015-11-23,stay
2015-11-24,stay
2015-11-25,up
2015-11-27,stay
2015-11-30,stay
2015-12-01,up
2015-12-02,down
2015-12-03,stay
2015-12-04,down
2015-12-07,up
2015-12-08,stay
2015-12-09,stay
2015-12-10,stay
2015-12-11,down
2015-12-14,stay
2015-12-15,stay
2015-12-16,up
2015-12-17,up
2015-12-18,stay
2015-12-21,stay
2015-12-22,down
2015-12-23,down
2015-12-24,stay
2015-12-28,down
2015-12-29,up
2015-12-30,up
2015-12-31,up
2016-01-04,down
2016-01-05,down
2016-01-06,stay
2016-01-07,up
2016-01-08,down
2016-01-11,down
2016-01-12,stay
2016-01-13,down
2016-01-14,stay
2016-01-15,up
2016-01-19,stay
2016-01-20,stay
2016-01-21,down
2016-01-22,down
2016-01-25,stay
2016-01-26,down
2016-01-27,down
2016-01-28,stay
2016-01-29,down
2016-02-01,up
2016-02-02,down
2016-02-03,down
2016-02-04,up
2016-02-05,down
2016-02-08,down
2016-02-09,up
2016-02-10,down
2016-02-11,down
2016-02-12,down
2016-02-16,down
2016-02-17,up
2016-02-18,down
2016-02-19,up
2016-02-22,up
2016-02-23,up
2016-02-24,up
2016-02-25,up
2016-02-26,up
2016-02-29,stay
2016-03-01,down
2016-03-02,up
2016-03-03,up
2016-03-04,up
2016-03-07,up
2016-03-08,stay
2016-03-09,up
2016-03-10,down
2016-03-11,stay
2016-03-14,up
2016-03-15,up
2016-03-16,stay
2016-03-17,up
2016-03-18,up
2016-03-21,stay
2016-03-22,down
2016-03-23,down
2016-03-24,up
2016-03-28,stay
2016-03-29,down
2016-03-30,down
2016-03-31,stay
2016-04-01,down
2016-04-04,stay
2016-04-05,up
2016-04-06,up
2016-04-07,down
2016-04-08,down
2016-04-11,stay
2016-04-12,down
2016-04-13,up
2016-04-14,stay
2016-04-15,up
2016-04-18,stay
2016-04-19,down
2016-04-20,up
2016-04-21,stay
2016-04-22,up
2016-04-25,stay
2016-04-26,stay
2016-04-27,stay
2016-04-28,stay
2016-04-29,down
2016-05-02,stay
2016-05-03,down
2016-05-04,down
2016-05-05,down
2016-05-06,up
2016-05-09,down
2016-05-10,stay
2016-05-11,up
2016-05-12,down
2016-05-13,stay
2016-05-16,stay
2016-05-17,down
2016-05-18,stay
2016-05-19,stay
2016-05-20,up
2016-05-23,down
2016-05-24,stay
2016-05-25,stay
2016-05-26,up
2016-05-27,down
2016-05-31,stay
2016-06-01,down
2016-06-02,stay
2016-06-03,stay
2016-06-06,stay
2016-06-07,up
2016-06-08,stay
2016-06-09,down
2016-06-10,down
2016-06-13,stay
2016-06-14,down
2016-06-15,stay
2016-06-16,stay
2016-06-17,stay
2016-06-20,stay
2016-06-21,stay
2016-06-22,down
2016-06-23,stay
2016-06-24,up
2016-06-27,up
2016-06-28,stay
2016-06-29,up
2016-06-30,down
2016-07-01,up
2016-07-05,up
2016-07-06,up
2016-07-07,up
2016-07-08,down
2016-07-11,up
2016-07-12,stay
2016-07-13,down
2016-07-14,stay
2016-07-15,stay
2016-07-18,up
2016-07-19,stay
2016-07-20,stay
2016-07-21,down
2016-07-22,stay
2016-07-25,up
2016-07-26,stay
2016-07-27,stay
2016-07-28,stay
2016-07-29,up
2016-08-01,down
2016-08-02,stay
2016-08-03,down
2016-08-04,up
2016-08-05,stay
2016-08-08,stay
2016-08-09,stay
2016-08-10,stay
2016-08-11,stay
2016-08-12,stay
2016-08-15,stay
2016-08-16,stay
2016-08-17,stay
2016-08-18,stay
2016-08-19,stay
2016-08-22,stay
2016-08-23,stay
2016-08-24,down
2016-08-25,down
2016-08-26,stay
2016-08-29,down
2016-08-30,down
2016-08-31,stay
2016-09-01,down
2016-09-02,down
2016-09-06,up
2016-09-07,down
2016-09-08,down
2016-09-09,stay
2016-09-12,stay
2016-09-13,stay
2016-09-14,stay
2016-09-15,stay
2016-09-16,up
2016-09-19,stay
2016-09-20,stay
2016-09-21,down
2016-09-22,stay
2016-09-23,up
2016-09-26,up
2016-09-27,down
2016-09-28,stay
2016-09-29,down
2016-09-30,stay
2016-10-03,stay
2016-10-04,stay
2016-10-05,down
2016-10-06,stay
2016-10-07,down
2016-10-10,stay
2016-10-11,stay
2016-10-12,stay
2016-10-13,stay
2016-10-14,down
2016-10-17,down
2016-10-18,up
2016-10-19,up
2016-10-20,down
2016-10-21,stay
2016-10-24,stay
2016-10-25,stay
2016-10-26,stay
2016-10-27,down
2016-10-28,down
2016-10-31,down
2016-11-01,down
2016-11-02,stay
2016-11-03,stay
2016-11-04,down
2016-11-07,down
2016-11-08,stay
2016-11-09,stay
2016-11-10,down
2016-11-11,up
2016-11-14,down
2016-11-15,stay
2016-11-16,stay
2016-11-17,up
2016-11-18,down
2016-11-21,stay
2016-11-22,up
2016-11-23,stay
2016-11-25,up
2016-11-28,stay
2016-11-29,down
2016-11-30,stay
2016-12-01,down
2016-12-02,stay
2016-12-05,up
2016-12-06,stay
2016-12-07,up
2016-12-08,stay
2016-12-09,stay
2016-12-12,stay
2016-12-13,up
2016-12-14,stay
2016-12-15,stay
2016-12-16,up
2016-12-19,stay
2016-12-20,up
2016-12-21,stay
2016-12-22,stay
2016-12-23,up
2016-12-27,up
2016-12-28,stay
2016-12-29,down
2016-12-30,stay
2017-01-03,stay
2017-01-04,up
2017-01-05,stay
2017-01-06,stay
2017-01-09,up
